trafikplatsnamn;signatur;northing;easting;lat;long;bandel
Timrå;Trå;6930533;620083;62.4864;17.33025;233
Skönvik;Skk;6928575;620053;62.46885;17.32829;233
Brunna;Bna;6638468;636034;59.86138;17.42907;431
Tjugonde slussen;Tjs;6543669;341819;59.00321;12.24598;001
Bankeryd;Bry;6413500;448273;57.86039;14.12826;711
Grästorp;Gop;6468290;364505;58.33457;12.68582;652
Silverdalens bruk;Sid;6377316;545471;57.53608;15.75948;831
Gunsta;xGa;6638419;658737;59.85285;17.83389;001
Simrishamn;Si;6156594;459060;55.55364;14.35102;969
Rämshyttan;Rmh;6684651;512300;60.29827;15.22252;324
Hallstavik;Hak;6662408;700097;60.0499;18.59399;435
Kärreberga;Käb;6223309;374679;56.13835;12.98325;932
Lustån;Luå;6678032;555816;60.2352;16.00787;333
Hällenyland;Hnl;6944494;643130;62.60338;17.78859;233
Krampen;Krn;6622850;532583;59.74226;15.57966;313
Lottefors;Lot;6810407;575331;61.42019;16.41156;217
Sunne;Sun;6634547;396263;59.83556;13.14919;661
Rossön;Ros;7088936;566157;63.92123;16.34884;153
Fjällåsen;Fjå;7498202;717149;67.51933;20.09371;113
Norberg;Nbg;6658758;551772;60.0627;15.92996;344
Silinge;Sii;6542486;589971;59.01238;16.56667;492
Ödhult;xÖdh;6366465;549953;57.43814;15.83212;001
Mo grindar;Mog;6757547;592741;60.94208;16.71172;218
Ljungbyheds grusgrop;xLjd;6217071;389736;56.08604;13.22799;001
Nättraby;Nät;6229695;532697;56.21105;15.52715;943
Ösmo;Öso;6541947;666804;58.98449;17.90263;477
Bärby;xB;6638839;657682;59.85702;17.81539;001
Årsta;xÅs;6639348;651304;59.86397;17.70205;001
Mullsjö;Mu;6419801;433728;57.91505;13.88143;711
Järpås;Jps;6472698;381289;58.379;12.96998;552
Högboda;Hbd;6603733;389930;59.55739;13.05239;631
Råskogen;Rås;6503164;347987;58.64206;12.38081;636
Moskosel;Mos;7313920;701702;65.88242;19.42666;161
Lemmeströ;Lmm;6150715;396619;55.4916;13.36373;961
Murjek;Mk;7386192;761526;66.4841;20.88078;118
Hoting;Htg;7110381;558505;64.115;16.20112;261
Järpen;Jpn;7024653;423523;63.34242;13.47214;221
Uppsala Östra;xUö;6638561;648358;59.85798;17.64893;001
Ljusdal;Ls;6855375;557757;61.82682;16.09652;217
Holmfors;Hfs;7325346;804219;65.90315;21.68765;118
Grimsås;Grm;6371924;412826;57.48154;13.54609;721
Jönköpings central;Jö;6405016;450336;57.78442;14.1648;711
Forsheda;Fod;6336171;429403;57.16332;13.83271;732
Björkliden;Bln;7592916;651312;68.4083;18.68637;111
Örsjö;Örs;6283875;545923;56.69669;15.74987;824
Kvarnängen;Kng;6535876;668494;58.92938;17.92738;477
Hasslarp;Hlp;6223330;364297;56.1357;12.81629;923
Bräkne-Hoby;Bhb;6231831;507191;56.23132;15.116;943
Fångsjöbacken;Fgö;6992861;590038;63.05407;16.78102;211
Skattkärr;Srr;6586289;424592;59.40846;13.67164;383
Vikmanshyttan;Vhy;6684758;547660;60.29663;15.86221;333
Wibe;Wibe;6761096;474239;60.98397;14.52394;361
Perstorp;Pt;6222419;400484;56.13643;13.39864;932
Ljungaverks lastplats;Ljun;6929916;555557;62.49614;16.07832;224
Gripsholmsviken;xGhn;6570823;625875;59.25761;17.20771;001
Annedal;Aal;6222206;371320;56.12755;12.92976;923
Lökom;Lkm;7006654;631007;63.16523;17.60163;232
Vålberg;Våb;6585862;397644;59.39894;13.19738;637
Hofors;Hfr;6715511;569399;60.56954;16.26609;322
Erikslund;Ei;6933264;546969;62.52738;15.91258;224
Sollefteå;Stå;7006206;614056;63.16698;17.26503;232
Söräng;Säg;6801306;565202;61.34034;16.21864;251
Helsingborgs central;Hb;6213323;356434;56.04355;12.69525;904
Rautas;Rut;7550344;704654;67.99428;19.89855;111
Ättekulla;Ätk;6210728;360860;56.02156;12.76758;933
Tågarp;Tgp;6199901;371757;55.92739;12.94744;926
Åmsele;Åm;7158549;707719;64.48866;19.32501;152
Enafors;Ens;7020648;366493;63.28978;12.33726;221
Röstbo;Rbo;6782761;590267;61.16892;16.678;218
Gällö;Gö;6975721;511656;62.91124;15.22942;223
Dannemora;Dma;6676660;657879;60.19613;17.84796;435
Skurup;Srp;6149256;405080;55.48021;13.49809;961
Hasselfors;Hs;6549636;479738;59.08559;14.64644;383
Krokom OJ;Kroj;7023466;470578;63.33874;14.41232;221
Forshem;Fhm;6498512;412400;58.61809;13.49185;552
Vartofta;Vf;6439793;419111;58.09216;13.62795;710
Via;Via;6854744;615487;61.80805;17.19142;235
Mariestad;Mst;6508532;431984;58.71157;13.8259;552
Kärrgruvan;Kär;6661681;552306;60.08887;15.94029;344
Storblåliden;Sbi;7269089;751459;65.44672;20.42848;124
Segersäng;Ssä;6547009;667987;59.02943;17.92704;477
Kattisavan;Kat;7184713;650344;64.75331;18.1601;152
Dagarn;Dn;6641397;540106;59.90813;15.71705;313
Ångsågsmossen;Åmn;6229721;498606;56.21241;14.97753;943
Borgstena;Boa;6417408;382285;57.88297;13.01482;654
Håkantorp;Håp;6464759;377395;58.30667;12.90766;653
Sveg;S;6878314;466096;62.03559;14.35193;264
Luleå;Le;7292378;829951;65.58413;22.16582;122
Nyfors;Nyf;7296335;773867;65.67181;20.96476;124
Nelhammar;Nl;6439467;578121;58.08973;16.32501;845
Mörrum;Mru;6226913;484042;56.18691;14.74289;943
Bruksberget;Bet;7341843;849336;66.00365;22.71363;132
Holmån;Hoå;7031920;632314;63.39128;17.64825;130
Verkebäck;Vbä;6399525;590244;57.72879;16.51538;001
Polcirkeln;Pc;7396007;766859;66.56712;21.02111;117
Granstanda;Gad;6717317;574836;60.58478;16.36594;322
Könsa;Köa;7036001;709272;63.39101;19.18986;171
Tisselskog;Tsl;6531550;349367;58.89721;12.38549;662
Österås;Öså;7010999;609829;63.21128;17.18439;130
Tallåsen;Tl;6859845;553245;61.86759;16.01221;216
Medskogsheden;Msn;6740737;592501;60.79128;16.69926;311
Hedemora;Hdm;6682348;554216;60.27417;15.98014;333
Vimmerby;Vib;6391522;551217;57.66305;15.85844;841
Köpmannebro;Kpm;6516963;355842;58.76855;12.50717;637
Hedensbyn;Hsb;7193589;785816;64.74479;21.01079;143
Bodsjön;Bön;6965010;521473;62.81467;15.42126;211
Vassijaure;Vj;7594281;633652;68.42945;18.2588;111
Huskvarna;Hka;6404719;456278;57.78237;14.26476;711
Sunderbyns sjukhus;Sus;7301103;818271;65.67354;21.93525;119
Kungsör;Kör;6588208;562581;59.4278;16.10301;490
Linaälv;Lin;7469544;725817;67.25685;20.2394;113
Lovene;Lve;6479378;385964;58.44021;13.04655;552
Duved;Du;7030708;395945;63.38977;12.91762;221
Vagnhärad;Vhd;6536709;643769;58.94585;17.49885;421
Långbron;Lgb;6536164;343460;58.93649;12.27984;662
Morgongåva;Må;6645562;609616;59.9329;16.96145;431
Anundsjö;Anö;7036980;656858;63.42668;18.14365;130
Knäred;Knä;6264735;396107;56.51552;13.31155;931
Torsby;Toy;6668287;389073;60.13648;13.00283;661
Umeå godsbangård;Uågb;7090273;757380;63.84466;20.23753;146
Nacksta;Nta;6920598;616168;62.39853;17.24764;234
Arnemark;Amk;7277426;787463;65.49133;21.21822;141
Storträsk;Sto;7235126;737040;65.15401;20.06004;124
Barva;Bva;6579663;601956;59.3434;16.79264;451
Laduberg;Lrg;7302532;779977;65.72184;21.11001;124
Harrträsk;Hrt;7446539;748531;67.03351;20.71438;117
Ödåkra;Öda;6220021;359753;56.10467;12.74497;920
Viskafors;Vfo;6389488;371331;57.62933;12.8452;656
